id,title,author,author_kana,category,cover_url,pdf_url,description,publish_date
pdf-1,202603主体性が湧き出ちゃう保育15久保氏,不明,あ,その他,,https://arumimatuy.github.io/hotsuu_archive/pdfs/202603主体性が湧き出ちゃう保育15久保氏.pdf,202603主体性が湧き出ちゃう保育15久保氏のPDFドキュメントです。,2026-04-01
pdf-2,202603主体性が湧き出ちゃう保育・15：久保氏.02a,不明,あ,その他,,https://arumimatuy.github.io/hotsuu_archive/pdfs/202603主体性が湧き出ちゃう保育・15：久保氏.02a.pdf,202603主体性が湧き出ちゃう保育・15：久保氏.02aのPDFドキュメントです。,2026-04-01
pdf-3,202603保育士養成校の現在・６：青山氏.02a,不明,あ,その他,,https://arumimatuy.github.io/hotsuu_archive/pdfs/202603保育士養成校の現在・６：青山氏.02a.pdf,202603保育士養成校の現在・６：青山氏.02aのPDFドキュメントです。,2026-04-01
pdf-4,202603保育者座談会・18：02a,不明,あ,その他,,https://arumimatuy.github.io/hotsuu_archive/pdfs/202603保育者座談会・18：02a.pdf,202603保育者座談会・18：02aのPDFドキュメントです。,2026-04-01
pdf-5,202603子どもの性暴力防止：普光院氏.02a,不明,あ,その他,,https://arumimatuy.github.io/hotsuu_archive/pdfs/202603子どもの性暴力防止：普光院氏.02a.pdf,202603子どもの性暴力防止：普光院氏.02aのPDFドキュメントです。,2026-04-01
pdf-6,202603子どもの目の健康・後編：太田氏.02a,不明,あ,その他,,https://arumimatuy.github.io/hotsuu_archive/pdfs/202603子どもの目の健康・後編：太田氏.02a.pdf,202603子どもの目の健康・後編：太田氏.02aのPDFドキュメントです。,2026-04-01
pdf-7,202603小学生の声を聴く・35：和田氏.03a,不明,あ,その他,,https://arumimatuy.github.io/hotsuu_archive/pdfs/202603小学生の声を聴く・35：和田氏.03a.pdf,202603小学生の声を聴く・35：和田氏.03aのPDFドキュメントです。,2026-04-01
pdf-8,202603心を育てる・129：井桁氏.02a,不明,あ,その他,,https://arumimatuy.github.io/hotsuu_archive/pdfs/202603心を育てる・129：井桁氏.02a.pdf,202603心を育てる・129：井桁氏.02aのPDFドキュメントです。,2026-04-01
pdf-9,202603止まらない虐待・29：森田氏.02a,不明,あ,その他,,https://arumimatuy.github.io/hotsuu_archive/pdfs/202603止まらない虐待・29：森田氏.02a.pdf,202603止まらない虐待・29：森田氏.02aのPDFドキュメントです。,2026-04-01
pdf-10,202603生きもの～・72：小泉氏.02a,不明,あ,その他,,https://arumimatuy.github.io/hotsuu_archive/pdfs/202603生きもの～・72：小泉氏.02a.pdf,202603生きもの～・72：小泉氏.02aのPDFドキュメントです。,2026-04-01
pdf-11,202603経営相談室・24：松本氏.02a,不明,あ,経営,,https://arumimatuy.github.io/hotsuu_archive/pdfs/202603経営相談室・24：松本氏.02a.pdf,202603経営相談室・24：松本氏.02aのPDFドキュメントです。,2026-04-01
pdf-12,202603虐待防止・60：杉山氏.03a,不明,あ,その他,,https://arumimatuy.github.io/hotsuu_archive/pdfs/202603虐待防止・60：杉山氏.03a.pdf,202603虐待防止・60：杉山氏.03aのPDFドキュメントです。,2026-04-01
pdf-13,202603食育実践講座・108：野口氏.03a,不明,あ,その他,,https://arumimatuy.github.io/hotsuu_archive/pdfs/202603食育実践講座・108：野口氏.03a.pdf,202603食育実践講座・108：野口氏.03aのPDFドキュメントです。,2026-04-01
pdf-14,Tech,Report,あ,技術,,https://arumimatuy.github.io/hotsuu_archive/pdfs/Tech_Report_2024.pdf,TechのPDFドキュメントです。,2026-04-01
pdf-15,経営戦略2024,山田太郎,あ,経営,,https://arumimatuy.github.io/hotsuu_archive/pdfs/経営戦略2024_山田太郎_2024-03-01.pdf,経営戦略2024のPDFドキュメントです。,2024-03-01
